MSA,demoname,reclat,reclong,Population,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>",name
"Abilene, TX","Abilene, TX <br/> <a href=""http://45.35.64.128:8000/details.html?city=Abilene,TX"">Link to Page...</a>",32.44874,-99.7331,169000,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Abilene, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Abilene, TX"">Link to Page...</a>"
"Akron, OH","Akron, OH <br/> <a href=""http://45.35.64.128:8000/details.html?city=Akron,OH"">Link to Page...</a>",41.08144,-81.519,703398,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Akron, OH<br><a href=""http://45.35.64.128:8000/details.html?city=Akron, OH"">Link to Page...</a>"
"Albany, GA","Albany, GA  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Albany,GA"">Link to Page...</a>",31.57851,-84.1557,153776,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Albany, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Albany, GA"">Link to Page...</a>"
"Albany Schenectady Troy, NY","Albany Schenectady Troy, NY  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Albany Schenectady Troy, NY"">Link to Page...</a>",42.65258,-73.7562,881862,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Albany Schenectady Troy, NY<br><a href=""http://45.35.64.128:8000/details.html?city=Albany Schenectady Troy, NY"">Link to Page...</a>"
"Albuquerque, NM","Albuquerque, NM  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Albuquerque,NM"">Link to Page...</a>",35.1107,-106.61,905049,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Albuquerque, NM<br><a href=""http://45.35.64.128:8000/details.html?city=Albuquerque, NM"">Link to Page...</a>"
"Alexandria, LA","Alexandria, LA  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Alexandria, LA"">Link to Page...</a>",31.31129,-92.4451,154385,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Alexandria, LA<br><a href=""http://45.35.64.128:8000/details.html?city=Alexandria, LA"">Link to Page...</a>"
"Allentown Bethlehem Easton, PA NJ","Allentown Bethlehem Easton, PA NJ  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Allentown Bethlehem Easton,PA NJ"">Link to Page...</a>",40.60843,-75.4902,832790,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Allentown Bethlehem Easton, PA NJ<br><a href=""http://45.35.64.128:8000/details.html?city=Allentown Bethlehem Easton, PA NJ"">Link to Page...</a>"
"Altoona, PA","Altoona, PA  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Altoona, PA>Link to Page...</a>",40.51868,-78.3947,124736,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Altoona, PA<br><a href=""http://45.35.64.128:8000/details.html?city=Altoona, PA"">Link to Page...</a>"
"Amarillo, TX","Amarillo, TX  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Amarillo,TX"">Link to Page...</a>",35.222,-101.831,261827,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Amarillo, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Amarillo, TX"">Link to Page...</a>"
"Ames, IA","Ames, IA  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Ames, IA "">Link to Page...</a>",42.03472,-93.62,95888,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Ames, IA<br><a href=""http://45.35.64.128:8000/details.html?city=Ames, IA"">Link to Page...</a>"
"Anchorage, AK","Anchorage, AK  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Anchorage,AK"">Link to Page...</a>",61.21806,-149.9,399360,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Anchorage, AK<br><a href=""http://45.35.64.128:8000/details.html?city=Anchorage, AK"">Link to Page...</a>"
"Ann Arbor, MI","Ann Arbor, MI  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Ann Arbor, MI"">Link to Page...</a>",42.28083,-83.743,361509,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Ann Arbor, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Ann Arbor, MI"">Link to Page...</a>"
"Appleton, WI","Appleton, WI  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Appleton,WI"">Link to Page...</a>",44.26193,-88.4154,233025,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Appleton, WI<br><a href=""http://45.35.64.128:8000/details.html?city=Appleton, WI"">Link to Page...</a>"
"Asheville, NC","Asheville, NC  <br/> <a href=""http://45.35.64.128:8000/details.html?city=Asheville, NC"">Link to Page...</a>",35.59506,-82.5515,445625,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Asheville, NC<br><a href=""http://45.35.64.128:8000/details.html?city=Asheville, NC"">Link to Page...</a>"
"Athens Clarke County, GA","Athens Clarke County, GA",33.95,-83.3833,202780,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Athens Clarke County, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Athens Clarke County, GA"">Link to Page...</a>"
"Atlanta Sandy Springs Roswell, GA","Atlanta Sandy Springs Roswell, GA",33.749,-84.388,5700990,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Atlanta Sandy Springs Roswell, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Atlanta Sandy Springs Roswell, GA"">Link to Page...</a>"
"Atlantic City Hammonton, NJ","Atlantic City Hammonton, NJ",39.36428,-74.4229,272926,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Atlantic City Hammonton, NJ<br><a href=""http://45.35.64.128:8000/details.html?city=Atlantic City Hammonton, NJ"">Link to Page...</a>"
"Auburn Opelika, AL","Auburn Opelika, AL",32.60986,-85.4808,156597,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Auburn Opelika, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Auburn Opelika, AL"">Link to Page...</a>"
"Augusta Richmond County, GA SC","Augusta Richmond County, GA SC",33.4735,-82.0105,589519,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Augusta Richmond County, GA SC<br><a href=""http://45.35.64.128:8000/details.html?city=Augusta Richmond County, GA SC"">Link to Page...</a>"
"Austin Round Rock, TX","Austin Round Rock, TX",30.26715,-97.7431,2000590,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Austin Round Rock, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Austin Round Rock, TX"">Link to Page...</a>"
"Bakersfield, CA","Bakersfield, CA",35.37329,-119.019,878744,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bakersfield, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Bakersfield, CA"">Link to Page...</a>"
"Baltimore Columbia Towson, MD","Baltimore Columbia Towson, MD",39.29038,-76.6122,2792050,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Baltimore Columbia Towson, MD<br><a href=""http://45.35.64.128:8000/details.html?city=Baltimore Columbia Towson, MD"">Link to Page...</a>"
"Bangor, ME","Bangor, ME",44.80118,-68.7778,152284,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bangor, ME<br><a href=""http://45.35.64.128:8000/details.html?city=Bangor, ME"">Link to Page...</a>"
"Barnstable Town, MA","Barnstable Town, MA",41.70032,-70.3002,213900,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Barnstable Town, MA<br><a href=""http://45.35.64.128:8000/details.html?city=Barnstable Town, MA"">Link to Page...</a>"
"Baton Rouge, LA","Baton Rouge, LA",30.45828,-91.1403,828741,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Baton Rouge, LA<br><a href=""http://45.35.64.128:8000/details.html?city=Baton Rouge, LA"">Link to Page...</a>"
"Battle Creek, MI","Battle Creek, MI",42.32115,-85.1797,134327,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Battle Creek, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Battle Creek, MI"">Link to Page...</a>"
"Bay City, MI","Bay City, MI",43.59447,-83.8889,105350,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bay City, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Bay City, MI"">Link to Page...</a>"
"Beaumont Port Arthur, TX","Beaumont Port Arthur, TX",30.08017,-94.1266,408663,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Beaumont Port Arthur, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Beaumont Port Arthur, TX"">Link to Page...</a>"
"Bellingham, WA","Bellingham, WA",48.74908,-122.478,212738,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bellingham, WA<br><a href=""http://45.35.64.128:8000/details.html?city=Bellingham, WA"">Link to Page...</a>"
"Bend Redmond, OR","Bend Redmond, OR",44.05817,-121.315,175321,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Bend Redmond, OR<br><a href=""http://45.35.64.128:8000/details.html?city=Bend Redmond, OR"">Link to Page...</a>"
